possession_team,quarter,down,yards_to_go,yards_to_endzone,seconds_in_half_remaining,score_diff_offense,called_pass,play_result,description,cfl_game_id,play_id,distance_bucket,field_bucket,score_bucket,time_bucket
MTL,1,2,8.0,62.0,923,4.0,1,LossOfYards,Shotgun #7 C.Fajardo sacked for loss of 3 yards to the MTL45 (#94 D.Adams),6401,10-5	,Long (8+),Own Territory,Leading 1-7,Early Half
WPG,2,1,10.0,94.0,896,-4.0,1,LossOfYards,Shotgun #8 Z.Collaros sacked for loss of 8 yards to the WPG08 (#95 D.Wiggan),6401,11-1	,Long (8+),Own Deep,Trailing 1-7,Early Half
WPG,2,2,18.0,102.0,854,-4.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short right to #20 B.Oliveira caught at WPG08, for 8 yards to the WPG16 (#2 R.Stubblefield)",6401,11-2	,Long (8+),Own Deep,Trailing 1-7,Early Half
MTL,2,1,10.0,38.0,787,4.0,1,Nothing,Shotgun #7 C.Fajardo pass incomplete deep middle to #11 K.Julien-Grant thrown to WPG-17,6401,12-1	,Long (8+),Opponent Territory,Leading 1-7,Early Half
MTL,2,2,10.0,38.0,768,4.0,0,Nothing,"Shotgun #7 C.Fajardo rush right for 10 yards gain to the WPG28 (#24 T.Bonds), out of bounds, 1ST DOWN",6401,12-2	,Long (8+),Opponent Territory,Leading 1-7,Early Half
MTL,2,1,10.0,28.0,723,4.0,1,Nothing,Shotgun #7 C.Fajardo pass incomplete deep right to #85 T.Snead thrown to WPG-10,6401,12-3	,Long (8+),Opponent Territory,Leading 1-7,Early Half
MTL,2,2,10.0,28.0,700,4.0,1,Penalty,"Shotgun #7 C.Fajardo pass complete short right to #25 W.Fletcher caught at WPG32, for 10 yards to the WPG18 (#94 D.Adams) PENALTY MTL Offside (#85 T.Snead) WPG Roughing the passer (#45 C.Haba) 20 yards from WPG28 to WPG18, 1ST DOWN. NO PLAY",6401,12-4	,Long (8+),Opponent Territory,Leading 1-7,Early Half
MTL,2,1,10.0,18.0,675,4.0,1,Nothing,"Shotgun #7 C.Fajardo pass complete short left to #25 W.Fletcher caught at WPG22, for 9 yards to the WPG09 (#31 E.Holm)",6401,12-5	,Long (8+),Red Zone,Leading 1-7,Early Half
MTL,2,2,1.0,9.0,665,4.0,0,Nothing,"#7 C.Fajardo rush middle for 2 yards gain to the WPG07 (#41 B.Cole), 1ST DOWN",6401,12-6	,Short (1-3),Red Zone,Leading 1-7,Early Half
MTL,2,1,7.0,7.0,621,4.0,0,Nothing,Shotgun #21 S.Thomas Erlington rush middle for 4 yards gain to the WPG03 (#95 J.Thomas),6401,12-7	,Medium (4-7),Red Zone,Leading 1-7,Early Half
MTL,2,2,3.0,3.0,574,4.0,0,Nothing,Shotgun #25 W.Fletcher rush middle for 2 yards gain to the WPG01 (#37 B.Alexander),6401,12-8	,Short (1-3),Red Zone,Leading 1-7,Late Half
MTL,2,3,1.0,1.0,539,4.0,0,Touchdown,"#5 C.Evans rush middle for 1 yard gain to the WPG00 TOUCHDOWN, clock 08:56 PENALTY WPG Offside declined",6401,12-9	,Short (1-3),Red Zone,Leading 1-7,Late Half
WPG,2,1,10.0,79.0,507,-11.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short right to #89 K.Lawler caught at WPG33, for 9 yards to the WPG40 (#26 T.Beverette), out of bounds",6401,14-1	,Long (8+),Own Territory,Trailing 8+,Late Half
WPG,2,2,1.0,70.0,492,-11.0,0,Nothing,"#17 C.Streveler rush middle for 3 yards gain to the WPG43 (#0 S.Lemon), 1ST DOWN",6401,14-2	,Short (1-3),Own Territory,Trailing 8+,Late Half
WPG,2,1,10.0,67.0,453,-11.0,0,Nothing,Shotgun #20 B.Oliveira rush middle for 7 yards gain to the WPG50 (#1 D.Sankey),6401,14-3	,Long (8+),Own Territory,Trailing 8+,Late Half
WPG,2,2,3.0,60.0,404,-11.0,0,Nothing,"Shotgun #20 B.Oliveira rush middle for 3 yards gain to the WPG53 (#2 R.Stubblefield), 1ST DOWN",6401,14-4	,Short (1-3),Midfield,Trailing 8+,Late Half
WPG,2,1,10.0,57.0,341,-11.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short left to #89 K.Lawler caught at WPG54, for 9 yards to the MTL48 (#8 N.Lyon), out of bounds",6401,14-5	,Long (8+),Midfield,Trailing 8+,Late Half
WPG,2,2,1.0,48.0,300,-11.0,0,Nothing,"#17 C.Streveler rush middle for 1 yard gain to the MTL47 (#1 D.Sankey), 1ST DOWN",6401,14-6	,Short (1-3),Midfield,Trailing 8+,Late Half
WPG,2,1,10.0,47.0,241,-11.0,0,Nothing,Shotgun #20 B.Oliveira rush middle for 3 yards gain to the MTL44 (#26 T.Beverette),6401,14-7	,Long (8+),Midfield,Trailing 8+,Late Half
WPG,2,2,7.0,44.0,200,-11.0,1,Nothing,"Shotgun #8 Z.Collaros pass complete short middle to #83 D.Schoen caught at MTL32, for 12 yards to the MTL32 (#24 M.Dequoy), 1ST DOWN",6401,14-8	,Medium (4-7),Midfield,Trailing 8+,Late Half
WPG,2,1,10.0,32.0,173,-11.0,1,Interception,"Shotgun #8 Z.Collaros pass intercepted by #24 M.Dequoy at MTL-03, End Of Play",6401,14-9	,Long (8+),Opponent Territory,Trailing 8+,Late Half
MTL,2,1,10.0,80.0,167,11.0,0,Nothing,Shotgun #25 W.Fletcher rush middle for 2 yards gain to the MTL32 (#95 J.Thomas),6401,15-1	,Long (8+),Own Territory,Leading 8+,Late Half
