possession_team,down,distance_bucket,field_bucket,score_bucket,time_bucket,plays,pass_prob_hist,avg_yards,avg_yards_to_endzone,avg_score_diff,avg_seconds_in_half,league_plays,league_pass_prob_hist,pass_prob_delta_vs_league
BC,1,Long (8+),Own Deep,Trailing 1-7,Late Half,4,0.75,10.0,94.5,-3.25,366.0,60,0.7333333333333333,0.01666666666666672
BC,1,Long (8+),Own Deep,Trailing 8+,2-min,6,0.8333333333333334,10.0,89.0,-18.333333333333332,57.333333333333336,39,0.7948717948717948,0.03846153846153855
BC,1,Long (8+),Own Deep,Trailing 8+,Early Half,3,1.0,10.0,87.0,-12.333333333333334,843.3333333333334,84,0.6309523809523809,0.36904761904761907
BC,1,Long (8+),Own Deep,Trailing 8+,Late Half,3,1.0,10.0,93.0,-25.333333333333332,472.6666666666667,48,0.7291666666666666,0.27083333333333337
BC,1,Long (8+),Own Territory,Leading 1-7,2-min,3,1.0,10.0,67.66666666666667,5.333333333333333,33.0,35,0.6285714285714286,0.37142857142857144
BC,1,Long (8+),Own Territory,Leading 1-7,Early Half,24,0.625,10.0,70.70833333333333,4.916666666666667,1141.75,236,0.5254237288135594,0.09957627118644063
BC,1,Long (8+),Own Territory,Leading 1-7,Late Half,10,0.5,10.0,68.7,4.6,383.0,106,0.5849056603773585,-0.08490566037735847
BC,1,Long (8+),Own Territory,Leading 8+,2-min,5,0.6,10.0,67.8,16.6,70.0,27,0.5555555555555556,0.0444444444444444
BC,1,Long (8+),Own Territory,Leading 8+,Early Half,17,0.6470588235294118,10.0,70.6470588235294,14.588235294117647,1156.235294117647,146,0.541095890410959,0.10596293311845284
BC,1,Long (8+),Own Territory,Leading 8+,Late Half,10,0.6,10.0,72.3,16.5,360.9,77,0.45454545454545453,0.14545454545454545
BC,1,Long (8+),Own Territory,Tied,Early Half,30,0.6333333333333333,10.0,71.2,0.0,1561.3,206,0.587378640776699,0.04595469255663431
BC,1,Long (8+),Own Territory,Tied,Late Half,3,0.6666666666666666,10.0,68.33333333333333,0.0,312.6666666666667,26,0.6923076923076923,-0.02564102564102566
BC,1,Long (8+),Own Territory,Trailing 1-7,2-min,3,1.0,10.0,67.33333333333333,-3.6666666666666665,86.66666666666667,58,0.8103448275862069,0.18965517241379315
BC,1,Long (8+),Own Territory,Trailing 1-7,Early Half,31,0.6129032258064516,10.0,69.61290322580645,-4.258064516129032,1269.1612903225807,316,0.5822784810126582,0.0306247447937934
BC,1,Long (8+),Own Territory,Trailing 1-7,Late Half,17,0.47058823529411764,10.0,71.41176470588235,-4.352941176470588,347.70588235294116,127,0.7401574803149606,-0.269569245020843
BC,1,Long (8+),Own Territory,Trailing 8+,2-min,7,0.7142857142857143,10.0,72.57142857142857,-16.714285714285715,45.714285714285715,73,0.8493150684931506,-0.13502935420743634
BC,1,Long (8+),Own Territory,Trailing 8+,Early Half,16,0.5625,10.0,69.1875,-15.375,1165.4375,205,0.6487804878048781,-0.08628048780487807
BC,1,Long (8+),Own Territory,Trailing 8+,Late Half,13,0.7692307692307693,10.0,71.0,-18.923076923076923,304.0769230769231,129,0.7596899224806202,0.009540846750149101
BC,1,Long (8+),Red Zone,Leading 1-7,2-min,1,0.0,10.0,15.0,2.0,64.0,9,0.6666666666666666,-0.6666666666666666
BC,1,Long (8+),Red Zone,Leading 1-7,Early Half,9,0.3333333333333333,10.0,16.22222222222222,4.555555555555555,1217.5555555555557,47,0.5319148936170213,-0.19858156028368795
BC,1,Long (8+),Red Zone,Leading 1-7,Late Half,4,0.25,10.0,13.75,2.75,423.5,35,0.45714285714285713,-0.20714285714285713
BC,1,Long (8+),Red Zone,Leading 8+,2-min,1,0.0,10.0,13.0,14.0,109.0,7,0.2857142857142857,-0.2857142857142857
BC,1,Long (8+),Red Zone,Leading 8+,Early Half,4,0.5,10.0,13.25,13.5,866.5,30,0.6,-0.09999999999999998
BC,1,Long (8+),Red Zone,Leading 8+,Late Half,4,0.0,10.0,15.5,15.5,335.25,21,0.3333333333333333,-0.3333333333333333
BC,1,Long (8+),Red Zone,Tied,Early Half,9,0.4444444444444444,10.0,15.444444444444445,0.0,1421.111111111111,52,0.5961538461538461,-0.15170940170940173
BC,1,Long (8+),Red Zone,Trailing 1-7,2-min,3,1.0,10.0,11.333333333333334,-5.666666666666667,56.333333333333336,18,0.8333333333333334,0.16666666666666663
BC,1,Long (8+),Red Zone,Trailing 1-7,Early Half,6,0.5,9.166666666666666,12.0,-4.833333333333333,1020.0,52,0.6153846153846154,-0.11538461538461542
BC,1,Long (8+),Red Zone,Trailing 1-7,Late Half,2,0.5,10.0,19.0,-2.0,357.0,21,0.6190476190476191,-0.11904761904761907
BC,1,Long (8+),Red Zone,Trailing 8+,2-min,1,0.0,9.0,9.0,-9.0,81.0,16,0.75,-0.75
BC,1,Long (8+),Red Zone,Trailing 8+,Early Half,3,0.6666666666666666,10.0,17.666666666666668,-13.0,878.3333333333334,51,0.6666666666666666,0.0
BC,1,Long (8+),Red Zone,Trailing 8+,Late Half,2,1.0,10.0,16.0,-13.5,228.5,29,0.7586206896551724,0.24137931034482762
BC,1,Medium (4-7),Midfield,Trailing 8+,Late Half,1,0.0,5.0,52.0,-8.0,240.0,1,0.0,0.0
BC,1,Medium (4-7),Opponent Territory,Leading 1-7,Late Half,1,1.0,5.0,33.0,4.0,292.0,1,1.0,0.0
BC,1,Medium (4-7),Red Zone,Leading 1-7,Early Half,4,0.5,5.0,5.0,3.75,1276.0,17,0.29411764705882354,0.20588235294117646
BC,1,Medium (4-7),Red Zone,Leading 8+,Early Half,1,1.0,7.0,7.0,13.0,844.0,7,0.7142857142857143,0.2857142857142857
BC,1,Medium (4-7),Red Zone,Leading 8+,Late Half,1,0.0,5.0,5.0,16.0,138.0,4,0.0,0.0
BC,1,Medium (4-7),Red Zone,Trailing 1-7,Late Half,1,0.0,5.0,5.0,-5.0,158.0,7,0.42857142857142855,-0.42857142857142855
BC,1,Medium (4-7),Red Zone,Trailing 8+,Early Half,1,0.0,7.0,7.0,-10.0,1012.0,6,0.3333333333333333,-0.3333333333333333
BC,1,Short (1-3),Red Zone,Leading 8+,Early Half,1,0.0,2.0,2.0,8.0,1038.0,2,0.0,0.0
BC,1,Short (1-3),Red Zone,Leading 8+,Late Half,1,1.0,3.0,3.0,10.0,549.0,6,0.16666666666666666,0.8333333333333334
BC,1,Short (1-3),Red Zone,Tied,Early Half,5,0.0,1.4,1.4,0.0,1404.2,8,0.0,0.0
BC,1,Short (1-3),Red Zone,Trailing 8+,2-min,1,0.0,1.0,1.0,-17.0,4.0,8,0.125,-0.125
BC,1,Short (1-3),Red Zone,Trailing 8+,Early Half,1,0.0,2.0,2.0,-12.0,660.0,10,0.1,-0.1
BC,2,Long (8+),Midfield,Leading 1-7,Early Half,5,0.8,11.4,53.4,4.0,1108.0,55,0.9272727272727272,-0.1272727272727272
BC,2,Long (8+),Midfield,Leading 1-7,Late Half,2,1.0,16.0,52.0,6.0,126.5,28,0.9285714285714286,0.0714285714285714
BC,2,Long (8+),Midfield,Leading 8+,2-min,2,0.5,10.0,49.5,14.5,62.0,14,0.6428571428571429,-0.1428571428571429
BC,2,Long (8+),Midfield,Leading 8+,Early Half,4,0.5,11.75,52.0,17.75,1258.75,22,0.8636363636363636,-0.36363636363636365
BC,2,Long (8+),Midfield,Leading 8+,Late Half,4,0.75,9.75,50.75,11.25,309.0,12,0.8333333333333334,-0.08333333333333337
BC,2,Long (8+),Midfield,Tied,2-min,1,0.0,8.0,43.0,0.0,16.0,6,0.8333333333333334,-0.8333333333333334
BC,2,Long (8+),Midfield,Tied,Early Half,3,0.6666666666666666,11.333333333333334,49.333333333333336,0.0,1407.6666666666667,46,0.9347826086956522,-0.2681159420289856
BC,2,Long (8+),Midfield,Trailing 1-7,2-min,2,1.0,16.0,45.5,-3.5,37.0,27,0.9629629629629629,0.03703703703703709
BC,2,Long (8+),Midfield,Trailing 1-7,Early Half,6,1.0,10.0,51.333333333333336,-4.666666666666667,1011.8333333333334,72,0.9444444444444444,0.05555555555555558
BC,2,Long (8+),Midfield,Trailing 1-7,Late Half,4,1.0,9.0,49.25,-2.5,212.75,30,0.8666666666666667,0.1333333333333333
BC,2,Long (8+),Midfield,Trailing 8+,2-min,1,1.0,10.0,45.0,-17.0,102.0,23,0.8260869565217391,0.17391304347826086
BC,2,Long (8+),Midfield,Trailing 8+,Early Half,5,1.0,15.8,52.8,-13.4,1014.0,45,0.8888888888888888,0.11111111111111116
BC,2,Long (8+),Midfield,Trailing 8+,Late Half,1,1.0,17.0,58.0,-9.0,127.0,30,0.9,0.09999999999999998
BC,2,Long (8+),Opponent Territory,Leading 1-7,2-min,2,1.0,10.5,28.0,3.5,78.0,10,0.6,0.4
